Datazone 2011,All households,Unshared dwelling: Total,Unshared dwelling: Whole house or bungalow,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In a commercial building",Unshared dwelling: Caravan or other mobile or temporary structure,Shared dwelling
S01007543,481,481,450,79,167,204,31,27,4,0,0,0
S01007544,496,496,489,417,53,19,5,0,5,0,2,0
S01007545,359,359,354,236,96,22,4,3,0,1,1,0
S01007546,223,223,222,161,53,8,1,1,0,0,0,0
S01007547,239,239,229,141,61,27,9,1,7,1,1,0
S01007548,304,304,297,114,129,54,6,2,3,1,1,0
S01007549,298,298,289,145,109,35,8,5,2,1,1,0
S01007550,449,449,429,181,145,103,19,12,4,3,1,0
S01007551,395,395,386,277,86,23,6,5,0,1,3,0
S01007552,401,401,343,64,118,161,57,52,1,4,1,0
S01007553,376,376,351,40,178,133,25,18,2,5,0,0
S01007554,221,221,215,16,162,37,6,4,2,0,0,0
S01007555,238,238,233,104,99,30,4,3,1,0,1,0
S01007556,227,227,156,28,56,72,71,55,11,5,0,0
S01007557,478,478,388,25,253,110,90,87,1,2,0,0
S01007558,189,189,188,101,44,43,1,1,0,0,0,0
S01007559,308,308,300,179,83,38,8,2,4,2,0,0
S01007560,440,440,398,118,144,136,42,33,1,8,0,0
S01007561,357,357,352,75,163,114,5,3,1,1,0,0
S01007562,365,365,360,170,135,55,4,3,1,0,1,0
S01007563,396,396,389,190,130,69,7,0,2,5,0,0
S01007564,323,323,313,218,75,20,10,10,0,0,0,0
S01007565,396,396,387,194,127,66,6,2,3,1,3,0
S01007566,275,275,268,139,108,21,6,3,2,1,1,0
S01007567,233,233,231,177,50,4,2,1,1,0,0,0
S01007568,295,295,286,177,68,41,9,2,7,0,0,0
S01007569,342,342,305,185,82,38,10,8,1,1,27,0
S01007570,295,295,290,181,93,16,3,3,0,0,2,0
S01007571,240,240,229,175,45,9,8,4,4,0,3,0
S01007572,370,370,316,203,84,29,52,50,2,0,2,0
S01007573,329,329,322,218,97,7,7,7,0,0,0,0
S01007574,438,438,431,33,102,296,7,7,0,0,0,0
S01007575,452,452,331,29,75,227,121,118,2,1,0,0
S01007576,344,344,176,17,75,84,168,166,1,1,0,0
S01007577,296,296,168,8,85,75,128,127,0,1,0,0
S01007578,332,332,201,8,73,120,131,128,3,0,0,0
S01007579,298,298,199,19,72,108,99,99,0,0,0,0
S01007580,293,293,193,18,89,86,100,93,3,4,0,0
S01007581,198,198,127,11,56,60,71,71,0,0,0,0
S01007582,285,285,205,11,74,120,80,80,0,0,0,0
S01007583,519,519,119,23,48,48,400,392,3,5,0,0
S01007584,279,279,184,18,83,83,95,90,3,2,0,0
S01007585,438,438,425,189,201,35,13,11,0,2,0,0
S01007586,377,377,298,31,134,133,79,78,0,1,0,0
S01007587,306,304,232,77,88,67,72,49,23,0,0,2
S01007588,360,360,337,141,142,54,23,14,7,2,0,0
S01007589,408,408,206,84,71,51,202,188,14,0,0,0
S01007590,289,289,276,89,165,22,13,4,9,0,0,0
S01007591,272,272,180,64,73,43,92,87,5,0,0,0
S01007592,353,353,152,20,95,37,201,196,3,2,0,0
S01007593,453,453,404,196,134,74,49,46,2,1,0,0
S01007594,334,334,334,144,145,45,0,0,0,0,0,0
S01007595,443,443,431,229,144,58,10,7,3,0,2,0
S01007596,275,275,247,174,47,26,10,1,7,2,18,0
S01007597,254,254,252,180,61,11,2,1,0,1,0,0
S01007598,266,266,253,159,54,40,13,6,7,0,0,0
S01007599,361,361,346,80,139,127,15,7,8,0,0,0
S01007600,510,505,317,181,107,29,187,172,11,4,1,5
S01007601,300,300,253,62,93,98,47,46,1,0,0,0
S01007602,269,269,255,110,127,18,13,11,0,2,1,0
S01007603,309,309,303,206,77,20,6,3,3,0,0,0
S01007604,389,389,385,272,107,6,4,2,1,1,0,0
S01007605,364,364,361,184,166,11,2,1,0,1,1,0
S01007606,314,314,250,80,164,6,64,61,3,0,0,0
S01007607,294,294,291,101,180,10,3,2,1,0,0,0
S01007608,308,308,297,106,186,5,11,11,0,0,0,0
S01007609,447,447,201,36,89,76,245,245,0,0,1,0
S01007610,255,255,99,21,57,21,156,145,10,1,0,0
S01007611,538,538,149,16,61,72,389,365,19,5,0,0
S01007612,609,606,136,22,35,79,470,341,60,69,0,3
S01007613,324,322,256,98,80,78,66,38,26,2,0,2
S01007614,358,358,348,201,107,40,10,4,5,1,0,0
S01007615,515,515,343,102,183,58,172,158,12,2,0,0
S01007616,387,387,121,25,65,31,266,252,9,5,0,0
S01007617,234,234,211,36,48,127,23,20,3,0,0,0
S01007618,294,294,266,20,79,167,27,27,0,0,1,0
S01007619,280,280,271,26,70,175,9,5,1,3,0,0
S01007620,271,271,251,67,176,8,20,16,2,2,0,0
S01007621,291,291,290,39,194,57,1,1,0,0,0,0
S01007622,256,256,251,60,124,67,3,2,1,0,2,0
S01007623,250,250,247,154,52,41,2,2,0,0,1,0
S01007624,268,268,265,79,111,75,3,2,0,1,0,0
S01007625,224,224,221,120,98,3,3,3,0,0,0,0
S01007626,269,269,263,102,155,6,6,6,0,0,0,0
S01007627,251,251,180,131,29,20,71,66,4,1,0,0
S01007628,314,314,298,177,102,19,11,6,5,0,5,0
S01007629,286,286,279,152,117,10,4,3,1,0,3,0
S01007630,338,338,329,231,90,8,2,2,0,0,7,0
S01007631,269,269,260,209,40,11,6,3,2,1,3,0
S01007632,437,437,405,140,105,160,31,19,7,5,1,0
S01007633,441,441,402,145,95,162,39,37,2,0,0,0
S01007634,241,241,234,149,61,24,3,0,3,0,4,0
S01007635,321,321,318,244,55,19,3,1,2,0,0,0
S01007636,416,416,333,109,129,95,83,75,1,7,0,0
S01007637,403,403,321,44,80,197,82,76,2,4,0,0
S01007638,373,373,236,61,62,113,137,124,7,6,0,0
S01007639,451,451,425,137,65,223,25,25,0,0,1,0
S01007640,303,303,299,196,90,13,4,3,1,0,0,0
S01007641,369,369,359,154,138,67,7,2,4,1,3,0
S01007642,415,415,313,146,82,85,102,46,37,19,0,0
S01007643,424,424,353,122,124,107,71,46,19,6,0,0
S01007644,384,384,342,161,109,72,42,31,10,1,0,0
S01007645,219,219,216,172,36,8,3,2,0,1,0,0
S01007646,260,260,239,157,63,19,21,11,8,2,0,0
S01007647,361,359,232,86,61,85,127,93,27,7,0,2
S01007648,446,446,335,60,58,217,111,82,14,15,0,0
S01007649,339,339,311,68,85,158,28,17,11,0,0,0
S01007650,420,420,415,222,89,104,3,0,2,1,2,0
S01007651,227,227,226,155,57,14,1,1,0,0,0,0
S01007652,257,257,221,123,66,32,18,15,2,1,18,0
S01007653,378,378,367,206,117,44,11,7,3,1,0,0
S01007654,465,465,419,153,125,141,43,40,3,0,3,0
S01007655,341,341,337,264,61,12,3,3,0,0,1,0
S01007656,358,358,349,249,79,21,9,4,5,0,0,0
S01007657,176,176,173,107,52,14,3,2,1,0,0,0
S01007658,231,231,228,116,65,47,3,2,1,0,0,0
S01007659,366,366,356,175,95,86,9,6,2,1,1,0
S01007660,400,400,327,21,107,199,72,65,6,1,1,0
S01007661,327,327,217,48,88,81,110,90,11,9,0,0
S01007662,493,493,367,60,123,184,126,114,9,3,0,0
S01007663,387,381,373,95,123,155,8,7,0,1,0,6
S01007664,283,283,223,26,101,96,60,58,1,1,0,0
S01007665,275,275,269,45,80,144,6,6,0,0,0,0
S01007666,198,198,196,150,34,12,2,2,0,0,0,0
S01007667,283,283,278,147,112,19,5,2,3,0,0,0
S01007668,468,468,433,16,196,221,35,33,1,1,0,0
S01007669,268,268,201,23,70,108,67,67,0,0,0,0
S01007670,299,299,263,39,120,104,36,31,4,1,0,0
S01007671,289,289,285,200,58,27,3,3,0,0,1,0
S01007672,389,389,384,281,59,44,5,2,3,0,0,0
S01007673,304,304,285,57,103,125,19,15,2,2,0,0
S01007674,376,376,357,44,117,196,18,18,0,0,1,0
S01007675,251,251,249,141,77,31,2,1,0,1,0,0
S01007676,279,279,277,199,64,14,2,1,0,1,0,0
S01007677,201,201,190,100,37,53,11,11,0,0,0,0
S01007678,368,368,335,51,113,171,33,22,1,10,0,0
S01007679,381,381,315,129,83,103,24,22,2,0,42,0
S01007680,386,386,382,101,263,18,3,2,0,1,1,0
S01007681,192,192,187,34,52,101,5,3,0,2,0,0
S01007682,403,401,287,156,117,14,114,46,66,2,0,2
S01007683,301,301,207,108,87,12,94,70,23,1,0,0
S01007684,332,332,308,190,109,9,24,8,16,0,0,0
S01007685,273,273,204,91,70,43,69,22,47,0,0,0
S01007686,320,320,215,99,95,21,105,66,38,1,0,0
S01007687,399,397,147,49,49,49,250,177,73,0,0,2
S01007688,545,543,102,26,39,37,441,405,35,1,0,2
S01007689,288,288,43,13,12,18,245,215,28,2,0,0
S01007690,393,393,96,24,23,49,297,250,41,6,0,0
S01007691,515,512,38,5,7,26,474,421,35,18,0,3
S01007692,434,431,70,18,31,21,360,342,11,7,1,3
S01007693,347,347,19,2,12,5,328,313,10,5,0,0
S01007694,523,521,111,18,48,45,410,378,24,8,0,2
S01007695,614,614,48,22,17,9,566,557,8,1,0,0
S01007696,437,437,55,2,27,26,380,368,9,3,2,0
S01007697,608,608,61,11,30,20,547,537,7,3,0,0
S01007698,589,586,90,11,36,43,496,475,19,2,0,3
S01007699,454,450,72,4,42,26,378,367,9,2,0,4
S01007700,450,448,250,96,129,25,198,130,68,0,0,2
S01007701,318,318,14,1,3,10,304,292,10,2,0,0
S01007702,266,266,56,6,47,3,210,175,33,2,0,0
S01007703,398,398,113,19,66,28,285,247,37,1,0,0
S01007704,517,517,21,7,11,3,496,480,9,7,0,0
S01007705,262,262,7,3,1,3,255,207,8,40,0,0
S01007706,370,362,5,0,1,4,357,297,10,50,0,8
S01007707,465,465,74,4,16,54,391,380,9,2,0,0
S01007708,357,357,66,4,12,50,291,283,8,0,0,0
S01007709,309,292,64,4,20,40,228,215,10,3,0,17
S01007710,450,445,7,1,5,1,438,411,10,17,0,5
S01007711,493,493,82,2,33,47,411,362,12,37,0,0
S01007712,360,360,44,12,16,16,316,283,33,0,0,0
S01007713,229,229,64,9,23,32,165,151,14,0,0,0
S01007714,321,318,126,6,51,69,192,185,3,4,0,3
S01007715,267,267,75,9,37,29,192,186,4,2,0,0
S01007716,598,598,89,8,31,50,509,491,12,6,0,0
S01007717,567,567,94,15,49,30,473,439,19,15,0,0
S01007718,467,461,22,5,8,9,439,436,3,0,0,6
S01007719,651,651,29,5,7,17,622,610,4,8,0,0
S01007720,404,404,84,19,18,47,320,319,1,0,0,0
S01007721,435,435,83,10,46,27,352,349,3,0,0,0
S01007722,548,548,46,11,19,16,502,500,0,2,0,0
S01007723,604,604,27,6,3,18,577,570,2,5,0,0
S01007724,358,358,35,1,23,11,323,317,5,1,0,0
S01007725,498,498,15,3,6,6,483,483,0,0,0,0
S01007726,453,453,82,4,34,44,371,353,17,1,0,0
S01007727,591,591,97,10,36,51,494,487,4,3,0,0
S01007728,414,414,18,4,8,6,396,386,4,6,0,0
S01007729,439,439,31,1,16,14,407,377,10,20,1,0
S01007730,464,464,14,2,4,8,450,444,6,0,0,0
S01007731,396,396,53,3,23,27,343,341,2,0,0,0
S01007732,374,374,53,5,13,35,321,312,3,6,0,0
S01007733,338,338,235,46,114,75,103,71,31,1,0,0
S01007734,384,384,297,127,152,18,87,73,13,1,0,0
S01007735,359,359,308,109,187,12,51,40,11,0,0,0
S01007736,309,309,165,51,97,17,144,132,12,0,0,0
S01007737,554,554,166,60,42,64,388,372,16,0,0,0
S01007738,358,358,266,45,176,45,92,90,2,0,0,0
S01007739,347,347,147,40,49,58,200,200,0,0,0,0
S01007740,265,265,155,51,62,42,110,105,5,0,0,0
S01007741,435,435,208,43,62,103,227,216,10,1,0,0
S01007742,328,328,148,34,94,20,180,169,10,1,0,0
S01007743,457,457,191,20,91,80,266,262,3,1,0,0
S01007744,403,403,166,3,100,63,237,237,0,0,0,0
S01007745,378,378,132,7,79,46,246,246,0,0,0,0
S01007746,409,409,256,8,148,100,153,153,0,0,0,0
S01007747,242,242,174,3,96,75,68,68,0,0,0,0
S01007748,369,369,128,2,80,46,241,241,0,0,0,0
S01007749,281,281,274,84,185,5,7,6,1,0,0,0
S01007750,358,358,318,182,129,7,40,24,15,1,0,0
S01007751,337,337,246,171,69,6,91,58,33,0,0,0
S01007752,356,356,182,88,83,11,174,153,21,0,0,0
S01007753,241,241,166,3,74,89,75,74,1,0,0,0
S01007754,414,414,329,13,181,135,85,84,1,0,0,0
S01007755,417,417,280,12,133,135,137,130,7,0,0,0
S01007756,298,298,233,5,99,129,65,65,0,0,0,0
S01007757,371,371,364,154,206,4,7,5,2,0,0,0
S01007758,468,468,279,149,83,47,189,151,38,0,0,0
S01007759,618,618,130,41,48,41,488,444,32,12,0,0
S01007760,262,262,195,105,75,15,67,40,27,0,0,0
S01007761,383,383,253,87,115,51,130,71,55,4,0,0
S01007762,474,474,118,43,37,38,356,311,35,10,0,0
S01007763,329,329,90,16,36,38,239,237,2,0,0,0
S01007764,310,310,290,105,178,7,20,14,6,0,0,0
S01007765,308,308,288,122,157,9,20,20,0,0,0,0
S01007766,382,382,376,139,229,8,6,5,0,1,0,0
S01007767,398,398,365,149,198,18,33,30,3,0,0,0
S01007768,356,356,136,46,42,48,220,159,61,0,0,0
S01007769,325,325,261,148,97,16,64,44,19,1,0,0
S01007770,318,318,269,169,84,16,49,35,14,0,0,0
S01007771,235,235,223,124,93,6,12,9,3,0,0,0
S01007772,546,546,293,29,90,174,253,249,4,0,0,0
S01007773,314,314,309,144,159,6,5,3,2,0,0,0
S01007774,323,323,317,259,49,9,6,6,0,0,0,0
S01007775,346,346,320,170,122,28,26,22,4,0,0,0
S01007776,282,282,212,174,37,1,70,68,1,1,0,0
S01007777,314,314,303,233,42,28,11,10,1,0,0,0
S01007778,155,155,147,134,9,4,7,1,6,0,1,0
S01007779,311,311,273,69,169,35,38,34,4,0,0,0
S01007780,331,331,304,60,224,20,27,25,2,0,0,0
S01007781,381,381,342,40,260,42,39,37,2,0,0,0
S01007782,239,239,77,5,44,28,162,158,1,3,0,0
S01007783,405,405,288,14,146,128,117,116,1,0,0,0
S01007784,276,276,213,23,134,56,63,62,1,0,0,0
S01007785,276,276,123,11,78,34,153,151,2,0,0,0
S01007786,333,333,324,7,201,116,9,9,0,0,0,0
S01007787,277,277,234,2,147,85,43,43,0,0,0,0
S01007788,268,268,132,8,87,37,135,133,2,0,1,0
S01007789,231,231,202,16,121,65,29,29,0,0,0,0
S01007790,330,330,117,6,87,24,213,212,1,0,0,0
S01007791,174,174,168,47,114,7,4,4,0,0,2,0
S01007792,384,384,373,9,211,153,11,11,0,0,0,0
S01007793,457,457,163,8,104,51,294,284,10,0,0,0
S01007794,234,234,166,5,92,69,68,68,0,0,0,0
S01007795,243,243,104,9,64,31,139,139,0,0,0,0
S01007796,311,311,184,30,80,74,127,126,1,0,0,0
S01007797,258,258,131,8,51,72,127,126,1,0,0,0
S01007798,226,226,213,86,59,68,13,7,6,0,0,0
S01007799,193,193,167,123,39,5,26,24,2,0,0,0
S01007800,365,365,310,10,270,30,55,52,3,0,0,0
S01007801,388,388,219,10,190,19,169,167,2,0,0,0
S01007802,199,199,193,4,157,32,6,6,0,0,0,0
S01007803,524,524,314,21,173,120,210,207,2,1,0,0
S01007804,259,259,193,11,143,39,66,66,0,0,0,0
S01007805,207,207,197,11,141,45,10,10,0,0,0,0
S01007806,296,296,222,2,135,85,74,74,0,0,0,0
S01007807,258,258,236,66,117,53,22,18,4,0,0,0
S01007808,304,304,287,30,178,79,17,16,1,0,0,0
S01007809,398,398,386,43,292,51,12,9,3,0,0,0
S01007810,369,369,302,14,183,105,66,63,3,0,1,0
S01007811,325,325,319,15,187,117,6,4,1,1,0,0
S01007812,328,328,323,9,241,73,5,4,1,0,0,0
S01007813,306,306,256,18,171,67,50,45,5,0,0,0
S01007814,229,229,191,12,120,59,38,31,7,0,0,0
S01007815,343,343,341,121,194,26,2,2,0,0,0,0
S01007816,273,273,267,48,138,81,6,6,0,0,0,0
S01007817,207,207,205,7,122,76,2,2,0,0,0,0
S01007818,314,314,273,60,120,93,41,36,5,0,0,0
S01007819,353,353,329,40,202,87,24,20,4,0,0,0
S01007820,408,408,333,37,252,44,75,62,11,2,0,0
S01007821,244,244,157,33,94,30,87,78,9,0,0,0
S01007822,349,349,311,52,210,49,38,38,0,0,0,0
S01007823,306,306,229,33,153,43,77,69,7,1,0,0
S01007824,342,342,269,94,82,93,73,52,21,0,0,0
S01007825,482,482,260,69,161,30,222,216,5,1,0,0
S01007826,260,260,149,13,106,30,111,105,6,0,0,0
S01007827,291,291,125,16,76,33,166,141,23,2,0,0
S01007828,592,592,83,6,24,53,509,495,13,1,0,0
S01007829,348,348,69,32,23,14,279,278,1,0,0,0
S01007830,545,545,108,12,34,62,437,433,4,0,0,0
S01007831,501,501,104,16,57,31,397,392,4,1,0,0
S01007832,362,362,72,14,39,19,290,288,1,1,0,0
S01007833,479,479,145,49,64,32,334,327,3,4,0,0
S01007834,416,416,45,1,34,10,371,371,0,0,0,0
S01007835,325,325,150,32,84,34,175,171,2,2,0,0
S01007836,285,285,164,45,87,32,121,120,1,0,0,0
S01007837,357,357,345,78,261,6,12,8,4,0,0,0
S01007838,392,392,331,68,245,18,61,59,1,1,0,0
S01007839,281,281,178,39,64,75,103,96,7,0,0,0
S01007840,425,425,119,3,43,73,306,305,1,0,0,0
S01007841,341,341,148,2,70,76,193,191,2,0,0,0
S01007842,391,391,101,4,50,47,290,286,4,0,0,0
S01007843,354,354,97,7,41,49,257,253,4,0,0,0
S01007844,520,520,145,10,59,76,375,372,3,0,0,0
S01007845,427,427,222,9,151,62,205,205,0,0,0,0
S01007846,337,335,276,8,185,83,59,58,1,0,0,2
S01007847,437,437,247,5,140,102,190,188,2,0,0,0
S01007848,447,445,129,5,63,61,316,315,1,0,0,2
S01007849,413,413,190,15,104,71,223,223,0,0,0,0
S01007850,293,293,283,9,202,72,10,9,1,0,0,0
S01007851,479,479,317,56,205,56,162,161,1,0,0,0
S01007852,356,356,104,2,53,49,252,251,1,0,0,0
S01007853,413,413,59,20,27,12,354,335,11,8,0,0
S01007854,548,548,159,25,104,30,388,375,8,5,1,0
S01007855,310,310,52,18,27,7,258,237,13,8,0,0
S01007856,348,348,293,32,101,160,55,49,2,4,0,0
S01007857,233,233,178,7,111,60,55,54,1,0,0,0
S01007858,533,533,413,54,260,99,120,116,2,2,0,0
S01007859,246,246,183,20,142,21,63,60,2,1,0,0
S01007860,237,237,212,94,111,7,25,25,0,0,0,0
S01007861,254,254,250,7,163,80,4,3,1,0,0,0
S01007862,308,308,281,6,239,36,27,27,0,0,0,0
S01007863,441,441,180,4,123,53,261,259,2,0,0,0
S01007864,486,486,342,19,126,197,144,144,0,0,0,0
S01007865,229,229,222,180,36,6,7,4,2,1,0,0
S01007866,209,209,208,106,98,4,1,1,0,0,0,0
S01007867,195,195,142,56,33,53,53,36,17,0,0,0
S01007868,351,351,336,129,203,4,15,13,1,1,0,0
S01007869,362,362,315,209,102,4,47,41,5,1,0,0
S01007870,199,199,192,91,57,44,6,4,1,1,1,0
S01007871,285,285,256,13,119,124,29,27,1,1,0,0
S01007872,322,322,211,12,82,117,111,111,0,0,0,0
S01007873,295,295,188,53,94,41,107,90,11,6,0,0
S01007874,367,367,165,40,61,64,202,190,2,10,0,0
S01007875,242,242,236,30,73,133,6,5,1,0,0,0
S01007876,420,420,389,111,162,116,31,29,1,1,0,0
S01007877,336,336,291,57,169,65,45,45,0,0,0,0
S01007878,281,281,194,23,81,90,87,85,1,1,0,0
S01007879,320,320,309,22,167,120,11,11,0,0,0,0
S01007880,178,178,144,99,33,12,34,34,0,0,0,0
S01007881,244,244,166,59,65,42,77,74,3,0,1,0
S01007882,268,268,260,199,43,18,7,6,1,0,1,0
S01007883,468,468,365,128,130,107,102,92,8,2,1,0
S01007884,269,269,253,23,78,152,16,14,2,0,0,0
S01007885,345,345,184,22,86,76,161,157,4,0,0,0
S01007886,433,433,274,94,61,119,159,150,5,4,0,0
S01007887,230,230,218,155,33,30,12,4,7,1,0,0
S01007888,451,451,438,29,164,245,13,13,0,0,0,0
S01007889,242,242,230,11,78,141,12,11,1,0,0,0
S01007890,300,300,289,88,138,63,11,11,0,0,0,0
S01007891,370,370,293,122,110,61,77,74,2,1,0,0
S01007892,341,341,260,176,38,46,81,70,3,8,0,0
S01007893,423,423,401,246,108,47,22,20,1,1,0,0
S01007894,386,386,352,28,148,176,34,29,4,1,0,0
S01007895,249,249,190,90,48,52,59,38,9,12,0,0
S01007896,387,387,204,17,106,81,183,181,1,1,0,0
S01007897,165,165,160,122,29,9,5,3,2,0,0,0
S01007898,166,166,163,125,35,3,1,1,0,0,2,0
S01007899,145,145,119,96,15,8,26,23,3,0,0,0
S01007900,232,232,231,15,165,51,1,1,0,0,0,0
S01007901,317,317,302,34,108,160,15,9,6,0,0,0
S01007902,394,394,379,31,217,131,15,15,0,0,0,0
S01007903,322,322,229,75,87,67,93,86,1,6,0,0
S01007904,312,312,290,190,62,38,22,15,3,4,0,0
S01007905,292,292,286,25,141,120,6,6,0,0,0,0
S01007906,382,382,206,27,129,50,176,175,1,0,0,0
S01007907,254,254,227,18,165,44,27,26,1,0,0,0
S01007908,419,419,305,149,118,38,114,105,7,2,0,0
S01007909,226,226,219,6,77,136,7,6,0,1,0,0
S01007910,369,369,226,29,112,85,143,143,0,0,0,0
S01007911,348,348,250,102,90,58,98,98,0,0,0,0
S01007912,346,346,251,48,149,54,95,95,0,0,0,0
S01007913,304,304,118,15,79,24,186,181,4,1,0,0
S01007914,279,279,240,23,69,148,39,38,1,0,0,0
S01007915,361,361,322,22,92,208,39,39,0,0,0,0
S01007916,399,399,283,58,166,59,116,112,4,0,0,0
S01007917,369,369,306,24,86,196,63,63,0,0,0,0
S01007918,446,446,254,63,142,49,192,158,22,12,0,0
S01007919,303,303,294,259,30,5,9,5,4,0,0,0
S01007920,245,245,236,146,85,5,9,8,0,1,0,0
S01007921,422,422,398,18,143,237,24,22,2,0,0,0
S01007922,386,386,261,14,158,89,125,125,0,0,0,0
S01007923,412,412,363,120,136,107,49,26,15,8,0,0
S01007924,430,430,308,100,109,99,122,118,1,3,0,0
S01007925,176,176,169,133,27,9,6,4,0,2,1,0
S01007926,175,175,171,117,36,18,4,4,0,0,0,0
S01007927,237,237,229,165,43,21,8,4,4,0,0,0
S01007928,418,418,388,209,91,88,30,22,8,0,0,0
S01007929,268,268,251,181,49,21,17,4,13,0,0,0
S01007930,216,216,208,146,33,29,8,8,0,0,0,0
S01007931,481,481,410,175,102,133,71,54,15,2,0,0
S01007932,364,364,306,183,110,13,58,50,8,0,0,0
S01007933,316,316,303,87,58,158,13,13,0,0,0,0
S01007934,300,300,265,100,72,93,35,32,2,1,0,0
S01007935,444,444,136,41,30,65,307,267,19,21,1,0
S01007936,389,389,343,212,75,56,46,45,0,1,0,0
S01007937,435,435,398,224,132,42,37,37,0,0,0,0
S01007938,372,372,198,35,47,116,174,172,2,0,0,0
S01007939,412,412,316,17,144,155,96,96,0,0,0,0
S01007940,497,497,362,98,175,89,135,132,2,1,0,0
S01007941,257,257,253,110,113,30,4,3,1,0,0,0
S01007942,207,207,138,29,73,36,69,65,1,3,0,0
S01007943,319,319,243,83,52,108,76,66,6,4,0,0
S01007944,442,442,320,88,141,91,122,117,4,1,0,0
S01007945,443,443,245,69,73,103,198,174,22,2,0,0
S01007946,396,396,228,56,51,121,167,146,14,7,1,0
S01007947,327,327,255,90,118,47,72,63,9,0,0,0
S01007948,304,304,183,28,106,49,121,121,0,0,0,0
S01007949,347,347,253,49,163,41,93,90,3,0,1,0
S01007950,376,376,320,164,98,58,56,43,13,0,0,0
S01007951,321,321,252,81,111,60,69,61,1,7,0,0
S01007952,357,357,143,18,59,66,214,189,16,9,0,0
S01007953,414,414,276,23,132,121,138,135,3,0,0,0
S01007954,324,324,199,14,95,90,125,125,0,0,0,0
S01007955,322,322,310,15,100,195,11,11,0,0,1,0
S01007956,297,297,292,8,102,182,5,5,0,0,0,0
S01007957,455,455,333,52,120,161,122,114,6,2,0,0
S01007958,388,388,136,58,45,33,252,249,2,1,0,0
S01007959,380,380,336,71,177,88,43,33,9,1,1,0
S01007960,291,291,251,38,107,106,40,39,1,0,0,0
S01007961,278,278,268,185,43,40,9,4,5,0,1,0
S01007962,246,246,203,10,154,39,43,43,0,0,0,0
S01007963,408,408,219,20,171,28,189,188,1,0,0,0
S01007964,353,353,263,18,192,53,90,90,0,0,0,0
S01007965,256,256,149,9,116,24,107,104,3,0,0,0
S01007966,418,418,348,46,226,76,70,70,0,0,0,0
S01007967,245,245,209,9,173,27,36,36,0,0,0,0
S01007968,397,397,337,11,154,172,60,58,1,1,0,0
S01007969,390,390,276,13,161,102,114,112,2,0,0,0
S01007970,408,408,309,8,157,144,99,98,1,0,0,0
S01007971,469,469,305,12,178,115,164,163,0,1,0,0
S01007972,377,377,340,3,177,160,37,37,0,0,0,0
S01007973,355,355,349,72,259,18,6,6,0,0,0,0
S01007974,426,426,130,10,107,13,296,289,4,3,0,0
S01007975,324,324,242,9,120,113,82,70,0,12,0,0
S01007976,456,456,127,7,66,54,329,317,8,4,0,0
S01007977,304,304,190,16,96,78,114,114,0,0,0,0
S01007978,353,353,40,7,10,23,313,308,4,1,0,0
S01007979,363,363,231,59,118,54,132,93,36,3,0,0
S01007980,340,340,210,41,154,15,130,120,10,0,0,0
S01007981,252,252,248,43,196,9,4,3,0,1,0,0
S01007982,210,210,206,83,57,66,4,3,1,0,0,0
S01007983,387,387,242,13,39,190,145,145,0,0,0,0
S01007984,374,374,311,23,94,194,63,60,3,0,0,0
S01007985,412,412,285,8,47,230,127,127,0,0,0,0
S01007986,238,238,230,41,44,145,8,8,0,0,0,0
S01007987,313,313,294,95,68,131,19,19,0,0,0,0
S01007988,336,336,331,12,57,262,5,5,0,0,0,0
S01007989,290,290,282,9,91,182,8,7,0,1,0,0
S01007990,339,339,319,41,91,187,20,19,1,0,0,0
S01007991,334,334,329,280,41,8,5,4,1,0,0,0
S01007992,224,224,220,150,63,7,4,3,1,0,0,0
S01007993,329,329,324,109,212,3,5,5,0,0,0,0
S01007994,293,293,292,230,55,7,1,1,0,0,0,0
S01007995,309,309,309,196,103,10,0,0,0,0,0,0
S01007996,187,187,178,112,53,13,9,8,1,0,0,0
S01007997,296,296,283,180,80,23,13,12,1,0,0,0
S01007998,225,225,163,95,59,9,62,55,7,0,0,0
S01007999,301,301,267,7,111,149,34,33,1,0,0,0
S01008000,390,390,353,24,133,196,37,36,1,0,0,0
S01008001,372,372,290,15,112,163,82,81,1,0,0,0
S01008002,330,330,269,20,183,66,61,58,0,3,0,0
S01008003,241,241,200,45,81,74,41,40,1,0,0,0
S01008004,230,230,216,81,95,40,14,13,0,1,0,0
S01008005,220,220,215,43,132,40,5,5,0,0,0,0
S01008006,248,248,185,18,100,67,63,63,0,0,0,0
S01008007,208,208,91,8,41,42,117,117,0,0,0,0
S01008008,267,267,210,15,161,34,57,55,2,0,0,0
S01008009,373,373,202,34,138,30,171,165,6,0,0,0
S01008010,476,476,255,69,127,59,221,218,1,2,0,0
S01008011,455,455,99,20,24,55,356,342,13,1,0,0
S01008012,471,471,92,21,44,27,378,338,15,25,1,0
S01008013,363,363,124,19,65,40,239,224,13,2,0,0
S01008014,312,312,174,44,124,6,138,133,1,4,0,0
