table_2025-11-20_14-28-03
SuperWEB2(tm),,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV402 - Accommodation type - Households All occupied households,,,,,,,,,,,
Intermediate Zone - Data Zone 2011 by Type of accomodation,,,,,,,,,,,
Counting: Households,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Households,,,,,,,,,,
Percentage: Row,,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure,
Intermediate Zone - Data Zone 2011,,,,,,,,,,,
S01006556,100,60.6138107,3.8363171,24.0409207,32.7365729,39.1304348,38.1074169,0.511509,0.511509,0,
S01006557,100,48.5861183,4.3701799,12.3393316,31.8766067,52.4421594,51.1568123,0,0.5141388,0,
S01006558,100,27.7936963,2.5787966,3.1518625,22.0630372,71.0601719,60.4584527,11.747851,0,0,
S01006559,100,47.4509804,6.2745098,23.9215686,17.254902,54.1176471,39.6078431,13.7254902,0.3921569,0,
S01006560,100,50.6550218,6.3318777,24.6724891,19.650655,49.1266376,37.7729258,11.3537118,0,0.4366812,
S01006561,100,74.7747748,13.2132132,36.3363363,24.3243243,25.2252252,19.2192192,6.006006,0,0,
S01006562,100,68.5579196,29.3144208,25.2955083,13.9479905,31.4420804,29.787234,1.1820331,0,0,
S01006563,100,52.7845036,6.2953995,25.9079903,20.5811138,47.6997579,41.6464891,5.3268765,0.2421308,0,
S01006564,100,4.7348485,1.3257576,2.0833333,2.6515152,94.5075758,92.8030303,1.5151515,0.1893939,0,
S01006565,100,5.0997783,0.2217295,1.9955654,2.4390244,94.2350333,90.6873614,2.8824834,0.443459,0,
S01006566,100,22.9934924,1.3015184,8.4598698,13.0151844,77.2234273,67.8958785,9.1106291,0.2169197,0,
S01006567,100,4.989605,1.4553015,1.4553015,2.0790021,95.010395,87.9417879,6.029106,1.039501,0,
S01006568,100,5.6384743,0.4975124,3.6484245,1.3266998,94.3615257,89.7180763,4.145937,0.9950249,0,
S01006569,100,25.2595156,0.6920415,6.2283737,17.6470588,74.7404844,65.3979239,8.9965398,0.6920415,0,
S01006570,100,42.9362881,8.8642659,25.4847645,8.5872576,57.0637119,45.9833795,10.8033241,0.2770083,0,
S01006571,100,41.6506718,2.4952015,10.3646833,28.7907869,58.3493282,42.2264875,13.4357006,1.9193858,0,
S01006572,100,75.862069,57.0291777,14.3236074,3.9787798,24.137931,14.8541114,8.7533156,1.061008,0,
S01006573,100,63.3561644,6.8493151,32.1917808,25.6849315,36.6438356,25.6849315,11.9863014,0.3424658,0,
S01006574,100,54.5243619,19.2575406,21.3457077,13.9211137,45.4756381,30.8584687,14.3851508,0.2320186,0,
S01006575,100,57.3529412,5.6372549,29.1666667,22.5490196,42.6470588,33.8235294,8.3333333,0.7352941,0.245098,
S01006576,100,56.2111801,4.3478261,40.6832298,11.1801242,44.4099379,36.9565217,7.7639752,0.621118,0,
S01006577,100,26.8065268,2.3310023,9.5571096,14.9184149,73.1934732,65.5011655,6.993007,0.4662005,0,
S01006578,100,10.0628931,0.3144654,1.8867925,7.7044025,89.9371069,86.163522,3.7735849,0,0,
S01006579,100,4.9090909,1.0909091,2.1818182,1.6363636,94.5454545,90.5454545,2.9090909,0.7272727,0,
S01006580,100,20.2469136,1.2345679,3.9506173,15.0617284,79.2592593,71.6049383,7.9012346,0.2469136,0,
S01006581,100,67.9487179,17.1794872,36.6666667,14.1025641,32.0512821,25.8974359,6.1538462,0,0,
S01006582,100,7.7071291,0.5780347,1.734104,5.3949904,92.2928709,83.2369942,6.9364162,2.1194605,0,
S01006583,100,1.4814815,0,0.2469136,0,98.2716049,98.0246914,0.7407407,0.2469136,0,
S01006584,100,8.040201,1.0050251,2.0100503,5.0251256,91.959799,82.6633166,7.5376884,1.758794,0,
S01006585,100,5.3254438,0.3944773,1.5779093,2.9585799,94.6745562,89.3491124,3.3530572,1.9723866,0,
S01006586,100,3.3175355,0.4739336,1.5402844,1.3033175,96.6824645,86.9668246,3.6729858,5.5687204,0,
S01006587,100,5.1282051,1.025641,1.5384615,1.5384615,95.8974359,86.9230769,6.1538462,2.8205128,0,
S01006588,100,3.9506173,1.7283951,0.4938272,1.7283951,96.0493827,86.1728395,2.7160494,6.9135802,0,
S01006589,100,3.8888889,0.8333333,2.7777778,0.2777778,96.1111111,93.8888889,1.1111111,1.6666667,0,
S01006590,100,8.5213033,2.5062657,2.5062657,3.5087719,91.4786967,79.197995,10.5263158,1.754386,0,
S01006591,100,12.8342246,0.802139,1.8716578,10.1604278,87.1657754,81.2834225,5.6149733,0,0,
S01006592,100,20.3389831,1.9774011,9.039548,9.3220339,79.6610169,73.1638418,6.4971751,0,0,
S01006593,100,14.8351648,1.6483516,2.1978022,10.4395604,85.1648352,75.2747253,9.6153846,0.2747253,0,
S01006594,100,17.2804533,2.266289,11.6147309,3.3994334,82.7195467,81.8696884,0,0.5665722,0,
S01006595,100,11.5969582,1.1406844,2.851711,7.6045627,88.4030418,84.9809886,3.2319392,0.3802281,0,
S01006596,100,27,2.25,11.75,12.75,72,61.5,10.5,1,0,
S01006597,100,4.0498442,0.3115265,2.1806854,1.5576324,95.9501558,93.4579439,3.7383178,0.3115265,0,
S01006598,100,69.1292876,8.9709763,43.0079156,17.6781003,30.8707124,23.4828496,7.3878628,0,0,
S01006599,100,16.3147793,3.646833,9.0211132,3.646833,83.6852207,80.806142,2.8790787,0,0,
S01006600,100,36.7201426,2.6737968,16.399287,16.9340463,63.2798574,58.8235294,3.9215686,0,0,
S01006601,100,41.8145957,1.7751479,30.7692308,8.8757396,57.9881657,53.0571992,4.9309665,0,0.1972387,
S01006602,100,49.2647059,15.4411765,18.872549,15.9313725,51.4705882,42.4019608,7.8431373,0.4901961,0,
S01006603,100,65.408805,6.6037736,19.1823899,38.3647799,35.5345912,33.6477987,0.9433962,1.2578616,0,
S01006604,100,84.3003413,2.0477816,23.2081911,59.0443686,15.0170648,14.334471,0.3412969,0,0,
S01006605,100,35.5742297,2.8011204,17.3669468,14.8459384,64.4257703,63.5854342,0.8403361,0,0,
S01006606,100,63.6363636,11.1688312,48.5714286,3.8961039,36.1038961,35.0649351,0.7792208,0.2597403,0.2597403,
S01006607,100,54.6448087,3.0054645,23.7704918,27.8688525,45.3551913,44.8087432,0.273224,0,0,
S01006608,100,81.1154599,34.8336595,18.3953033,27.8864971,18.590998,17.4168297,0.7827789,0.6849315,0.0978474,
S01006609,100,77.7522936,2.5229358,23.6238532,51.6055046,23.3944954,23.1651376,0.4587156,0,0,
S01006610,100,60.4166667,2.5,19.1666667,38.75,39.5833333,39.5833333,0.8333333,0,0,
S01006611,100,65.1270208,2.5404157,21.47806,41.108545,34.6420323,34.1801386,0.2309469,0.2309469,0.4618938,
S01006612,100,94.1340782,26.8156425,17.877095,49.4413408,6.7039106,6.9832402,0.5586592,0,0,
S01006613,100,75.6410256,46.1538462,26.4957265,2.991453,24.3589744,23.9316239,0.4273504,0,0,
S01006614,100,98.467433,24.9042146,53.6398467,19.9233716,1.532567,1.1494253,0.3831418,0,0,
S01006615,100,100.3787879,75,23.1060606,2.2727273,0.7575758,0.7575758,0,0,0,
S01006616,100,76.3076923,24.3076923,37.2307692,13.2307692,24.6153846,24,0.6153846,0,0,
S01006617,100,92.2005571,29.5264624,25.0696379,37.3259053,7.7994429,6.4066852,1.1142061,0.2785515,0,
S01006618,100,88,37.3333333,46.6666667,4.4444444,12,11.1111111,0,0.8888889,0,
S01006619,100,87.761194,20.2985075,17.0149254,49.2537313,12.238806,11.3432836,0.8955224,0,0,
S01006620,100,94.3089431,8.401084,31.9783198,53.9295393,5.4200542,4.8780488,0.2710027,0.2710027,0,
S01006621,100,86.5800866,2.5974026,23.3766234,60.1731602,13.8528139,12.987013,0.8658009,0,0,
S01006622,100,72.3684211,6.25,37.1710526,28.9473684,27.6315789,26.6447368,0.9868421,0.3289474,0,
S01006623,100,26.0869565,3.9130435,14.3478261,8.4782609,73.4782609,72.3913043,0.2173913,0,0,
S01006624,100,19.5255474,0.729927,10.9489051,7.8467153,80.4744526,78.1021898,2.189781,0.1824818,0,
S01006625,100,42.9104478,3.7313433,30.9701493,9.3283582,57.0895522,53.7313433,3.358209,0,0,
S01006626,100,15.9010601,1.7667845,13.4275618,0.7067138,84.0989399,81.6254417,1.0600707,0,0,
