table_2025-11-20_14-28-03
SuperWEB2(tm),,,,,,,,,,,
,,,,,,,,,,,
housedhold2022ReadOnly,,,,,,,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV402 - Accommodation type - Households All occupied households,,,,,,,,,,,
Intermediate Zone - Data Zone 2011 by Type of accomodation,,,,,,,,,,,
Counting: Households,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
Default Summation,Households,,,,,,,,,,
Percentage: Row,,,,,,,,,,,
,,,,,,,,,,,
Type of accomodation,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure,
Intermediate Zone - Data Zone 2011,,,,,,,,,,,
S01007800,100,84.1359773,3.3994334,68.5552408,12.1813031,14.7308782,15.5807365,0.5665722,0,0,
S01007801,100,58.7529976,2.8776978,51.0791367,4.7961631,41.2470024,39.3285372,1.9184652,0,0,
S01007802,100,94.5,3,73.5,17,5,4,1,0,0,
S01007803,100,63.7130802,6.3291139,34.1772152,22.5738397,36.2869198,32.4894515,1.6877637,2.1097046,0,
S01007804,100,86.9918699,6.504065,63.4146341,17.0731707,13.0081301,12.601626,0.4065041,0,0,
S01007805,100,97.0731707,10.2439024,66.3414634,21.9512195,2.9268293,2.4390244,0.4878049,0,0,
S01007806,100,78.2312925,2.3809524,44.2176871,31.6326531,21.7687075,21.0884354,0.6802721,0,0,
S01007807,100,89.4904459,33.4394904,40.7643312,14.3312102,10.5095541,8.2802548,1.910828,0.3184713,0,
S01007808,100,94.3217666,13.5646688,52.3659306,28.3911672,5.9936909,5.6782334,0.3154574,0,0,
S01007809,100,97.4293059,11.0539846,74.0359897,12.3393316,2.5706941,2.0565553,0.5141388,0,0,
S01007810,100,89.4329897,13.4020619,47.6804124,27.3195876,10.8247423,11.3402062,0.5154639,0,0,
S01007811,100,98.3568075,13.8497653,50.9389671,33.5680751,2.3474178,1.6431925,0.7042254,0,0,
S01007812,100,94.4598338,5.8171745,65.0969529,23.5457064,5.5401662,4.432133,1.1080332,0,0,
S01007813,100,86.5771812,6.7114094,58.0536913,21.8120805,13.4228188,12.0805369,1.0067114,0.3355705,0,
S01007814,100,87.2340426,5.106383,51.0638298,31.0638298,12.7659574,11.4893617,1.2765957,0,0,
S01007815,100,99.1452991,37.8917379,55.5555556,5.1282051,0.8547009,0.5698006,0.2849003,0,0,
S01007816,100,97.6190476,22.6190476,46.031746,28.968254,1.984127,1.984127,0,0,0.3968254,
S01007817,100,98.0487805,1.9512195,60,33.6585366,2.9268293,2.4390244,0.4878049,0,0,
S01007818,100,86.8852459,19.3442623,35.7377049,30.4918033,14.0983607,11.147541,1.9672131,0,0,
S01007819,100,92.3280423,15.8730159,55.5555556,21.6931217,7.6719577,6.0846561,1.3227513,0.2645503,0,
S01007820,100,80.4819277,9.8795181,62.1686747,9.8795181,17.5903614,14.6987952,3.6144578,0.4819277,0,
S01007821,100,67.0886076,12.6582278,45.1476793,10.9704641,32.4894515,29.9578059,2.5316456,0,0,
S01007822,100,84.2666667,13.6,54.9333333,14.9333333,16.2666667,16,0,0,0,
S01007823,100,82.4817518,12.7737226,58.7591241,10.9489051,16.0583942,13.8686131,2.189781,0,0,
S01007824,100,74.8129676,24.6882793,26.9326683,23.19202,25.1870324,21.6957606,2.7431421,0.7481297,0,
S01007825,100,58.9632829,16.1987041,34.9892009,6.6954644,41.9006479,38.8768898,2.5917927,0.4319654,0,
S01007826,100,69.2832765,8.1911263,52.21843,8.8737201,30.7167235,26.6211604,4.0955631,0,0,
S01007827,100,42.3487544,6.405694,22.0640569,13.8790036,57.6512456,51.2455516,4.9822064,0.7117438,0,
S01007828,100,16.925734,2.5906736,4.835924,9.671848,82.3834197,80.3108808,2.0725389,0,0,
S01007829,100,18.3946488,8.0267559,6.3545151,5.3511706,81.6053512,81.6053512,1.3377926,0,0,
S01007830,100,23.2,2.8,8.4,12,76.2,75.2,1,0,0,
S01007831,100,27.1317829,4.2635659,12.5968992,10.8527132,72.8682171,71.8992248,0.9689922,0.1937984,0,
S01007832,100,22.5308642,3.7037037,13.2716049,5.8641975,77.4691358,77.4691358,0,0.308642,0,
S01007833,100,31.5240084,10.2296451,15.65762,5.8455115,68.4759916,67.4321503,0.8350731,0.2087683,0,
S01007834,100,12.9113924,1.0126582,8.1012658,3.7974684,86.835443,86.0759494,0.7594937,0,0.2531646,
S01007835,100,48.125,12.8125,24.0625,10.625,51.875,50.625,0.9375,0,0,
S01007836,100,59.047619,16.1904762,34.6031746,8.8888889,39.6825397,37.4603175,2.2222222,0,0,
S01007837,100,96.1077844,23.3532934,71.257485,1.497006,3.8922156,2.994012,0.5988024,0,0,
S01007838,100,94.5823928,26.8623025,62.979684,4.2889391,5.6433409,5.4176072,0.2257336,0,0,
S01007839,100,59.7972973,12.5,16.8918919,30.4054054,40.2027027,37.1621622,3.0405405,0,0,
S01007840,100,27.2522523,1.5765766,10.1351351,15.990991,73.6486486,73.6486486,0,0,0,
S01007841,100,45.3703704,1.8518519,20.3703704,23.1481481,55.5555556,54.9382716,0.617284,0,0,
S01007842,100,32.8445748,3.2258065,15.542522,14.0762463,67.1554252,65.9824047,0.5865103,0.2932551,0,
S01007843,100,29.6829971,4.0345821,9.221902,16.426513,70.3170029,68.0115274,1.1527378,0.2881844,0,
S01007844,100,29.9765808,1.6393443,13.3489461,14.9882904,70.0234192,69.3208431,0.7025761,0,0,
S01007845,100,50.9043928,1.0335917,32.8165375,16.5374677,48.3204134,48.3204134,0.5167959,0.2583979,0,
S01007846,100,83.573487,1.7291066,51.5850144,29.3948127,16.426513,16.426513,0,0,0,
S01007847,100,59.9483204,1.2919897,30.4909561,28.1653747,40.0516796,39.7932817,0.2583979,0,0,
S01007848,100,37.4701671,0.7159905,18.3770883,18.3770883,62.5298329,62.052506,0.477327,0,0,
S01007849,100,52.2198732,3.1712474,29.8097252,19.2389006,47.7801268,47.1458774,0.422833,0.422833,0,
S01007850,100,95.1557093,1.7301038,64.0138408,29.4117647,4.8442907,4.8442907,0,0,0,
S01007851,100,71.0144928,11.8012422,45.1345756,13.4575569,29.1925466,28.5714286,0.4140787,0.2070393,0,
S01007852,100,35.6687898,1.910828,19.4267516,14.9681529,64.3312102,63.0573248,0.6369427,0.3184713,0,
S01007853,100,12.5760649,3.0425963,5.8823529,3.8539554,86.2068966,82.7586207,1.6227181,2.0283976,1.0141988,
S01007854,100,31.6239316,3.4188034,17.7350427,11.1111111,68.1623932,64.3162393,2.7777778,0.8547009,0.2136752,
S01007855,100,25.1748252,8.041958,12.9370629,4.1958042,73.4265734,69.9300699,3.4965035,1.3986014,0,
S01007856,100,86.3746959,9.9756691,35.0364964,41.3625304,13.6253041,12.8953771,0,0.729927,0,
S01007857,100,78.4482759,6.0344828,40.0862069,31.4655172,21.5517241,21.5517241,0,0,0,
S01007858,100,81.3461538,11.9230769,50.5769231,18.4615385,18.6538462,18.4615385,0.1923077,0,0,
S01007859,100,80.1470588,9.9264706,61.3970588,10.2941176,19.8529412,19.4852941,0.3676471,0,0,
S01007860,100,91.5129151,33.9483395,49.0774908,8.4870849,8.4870849,8.4870849,0,0,0,
S01007861,100,97.6744186,3.4883721,62.4031008,31.7829457,2.3255814,1.9379845,0.7751938,0,0,
S01007862,100,93.3554817,1.9933555,78.7375415,12.2923588,6.6445183,6.6445183,0,0,0,
S01007863,100,45.2436195,1.3921114,28.3062645,16.2412993,54.0603248,53.5962877,0.4640371,0,0,
S01007864,100,72.9613734,3.4334764,28.7553648,39.9141631,27.0386266,26.6094421,0.4291845,0,0,
S01007865,100,97.8787879,80.3030303,16.0606061,1.5151515,2.1212121,1.5151515,1.2121212,0,0,
S01007866,100,100.4761905,52.3809524,46.6666667,1.9047619,0.4761905,0.4761905,0,0,0,
S01007867,100,82.5163399,50.9803922,21.0784314,10.4575163,17.1568627,15.8496732,1.6339869,0,0,
S01007868,100,97.2527473,39.2857143,56.8681319,1.0989011,2.7472527,2.1978022,0.5494505,0.2747253,0,
S01007869,100,91.9889503,62.4309392,27.6243094,1.3812155,8.0110497,6.9060773,1.3812155,0.5524862,0,
S01007870,100,97.0588235,41.9117647,34.5588235,20.5882353,2.2058824,2.2058824,0,0,0,
S01007871,100,91.5441176,4.4117647,40.4411765,48.1617647,8.4558824,8.0882353,0.7352941,0,0,
S01007872,100,67.6100629,2.5157233,25.1572327,39.9371069,32.0754717,33.0188679,0.3144654,0,0,
S01007873,100,66.7844523,19.434629,34.9823322,12.3674912,33.5689046,27.9151943,3.5335689,1.7667845,0,
S01007874,100,50.2777778,13.8888889,14.7222222,20.5555556,50.2777778,48.0555556,0.2777778,1.3888889,0,
S01007875,100,98.1762918,15.8054711,41.0334347,41.337386,1.8237082,1.5197568,0,0.6079027,0,
S01007876,100,93.3673469,29.8469388,34.6938776,28.8265306,6.6326531,6.377551,0,0,0,
S01007877,100,88.4615385,18.0473373,50.591716,19.8224852,12.7218935,10.9467456,0.295858,0.295858,0,
S01007878,100,83.8541667,13.5416667,33.3333333,36.9791667,16.1458333,15.625,0.5208333,0,0,
S01007879,100,95.8944282,8.2111437,52.4926686,35.1906158,3.8123167,3.5190616,0.5865103,0,0,
S01007880,100,88.5714286,58.7755102,16.7346939,13.0612245,11.4285714,11.4285714,0,0,0,
S01007881,100,68,25.6,30.4,13.6,31.2,30.4,0.8,0,1.2,
S01007882,100,96.875,73.2638889,15.9722222,7.6388889,3.125,2.0833333,1.3888889,0,0,
S01007883,100,79.3991416,31.9742489,26.6094421,20.8154506,20.6008584,19.0987124,1.5021459,0,0,
S01007884,100,92.7536232,11.9565217,32.6086957,48.1884058,7.2463768,7.2463768,0,0,0,
S01007885,100,55.9171598,7.1005917,27.5147929,21.3017751,43.7869822,42.3076923,1.4792899,0.295858,0,
S01007886,100,65.5092593,22.2222222,15.9722222,28.0092593,34.0277778,31.25,1.6203704,1.3888889,0,
S01007887,100,95.6521739,66.0079051,16.6007905,13.0434783,4.3478261,3.5573123,0.7905138,0,0,
S01007888,100,94.8275862,5.387931,35.1293103,55.6034483,4.3103448,4.3103448,0,0,0,
S01007889,100,97.4358974,4.7008547,33.3333333,59.4017094,2.991453,2.5641026,0,0.4273504,0,
S01007890,100,94.3521595,28.2392027,44.1860465,22.2591362,5.3156146,4.9833887,0,0.3322259,0,
S01007891,100,84.6867749,28.7703016,37.1229698,18.7935035,15.3132251,15.3132251,0,0,0,
S01007892,100,79.5321637,54.9707602,11.6959064,12.8654971,20.4678363,19.2982456,0.2923977,0.5847953,0,
S01007893,100,96.7592593,58.1018519,26.8518519,11.8055556,2.3148148,2.7777778,0.6944444,0,0,
S01007894,100,92.1875,8.59375,40.1041667,43.4895833,7.8125,6.25,1.5625,0,0,
S01007895,100,88.8,49.6,18.4,20.8,11.2,10,0.8,0.4,0,
S01007896,100,53.9130435,3.7681159,28.4057971,21.4492754,44.9275362,44.3478261,1.7391304,0,0,
S01007897,100,97.4522293,72.611465,21.0191083,5.7324841,3.1847134,3.1847134,0,0,0.6369427,
S01007898,100,100.5208333,74.4791667,19.2708333,4.1666667,0.5208333,0.5208333,0,0,2.0833333,
S01007899,100,90.5349794,74.4855967,13.1687243,2.4691358,9.4650206,8.6419753,0,0,0,
S01007900,100,98.7654321,8.6419753,68.7242798,19.7530864,3.7037037,3.7037037,0,0,0,
S01007901,100,97.5945017,10.652921,39.1752577,47.766323,3.0927835,2.4054983,0.6872852,0,0,
S01007902,100,97.2299169,6.9252078,59.2797784,31.0249307,2.7700831,2.4930748,0.2770083,0,0,
S01007903,100,80.1369863,31.1643836,26.0273973,24.3150685,20.2054795,19.1780822,0,1.369863,0,
S01007904,100,91.8181818,63.3333333,17.2727273,11.2121212,9.3939394,6.969697,2.1212121,0.3030303,0,
S01007905,100,92.384106,4.3046358,51.3245033,36.7549669,7.615894,7.2847682,0.3311258,0,0,
S01007906,100,60.9329446,8.1632653,38.1924198,16.0349854,38.483965,37.9008746,0.5830904,0.2915452,0,
S01007907,100,95.2380952,6.7460317,68.6507937,19.8412698,4.7619048,4.7619048,0,0,0,
S01007908,100,76.7772512,39.3364929,27.014218,10.4265403,22.985782,22.5118483,0.2369668,0.2369668,0,
S01007909,100,92.8,4.4,30,58.4,7.2,7.2,0,0,0,
S01007910,100,63.0319149,9.5744681,27.6595745,25.7978723,36.9680851,36.7021277,0,0,0,
S01007911,100,66.2068966,34.137931,22.0689655,10,33.7931034,32.7586207,0.3448276,1.3793103,0,
S01007912,100,88.1028939,17.3633441,56.2700965,14.4694534,12.5401929,12.5401929,0,0,0,
S01007913,100,46.6237942,2.5723473,29.2604502,13.8263666,52.4115756,52.4115756,0.9646302,0,0,
S01007914,100,86.381323,7.0038911,21.4007782,57.9766537,13.618677,13.618677,0,0,0,
S01007915,100,90.0552486,4.9723757,29.0055249,56.0773481,9.9447514,9.6685083,0.2762431,0,0,
S01007916,100,77.3584906,18.8679245,44.7439353,13.7466307,22.6415094,22.3719677,0,0.2695418,0,
S01007917,100,80.6878307,6.0846561,26.984127,47.6190476,19.3121693,19.3121693,0,0,0,
S01007918,100,64.3765903,16.7938931,36.1323155,11.4503817,35.6234097,30.5343511,3.8167939,1.2722646,0,
S01007919,100,97.5460123,86.809816,7.9754601,2.7607362,2.1472393,1.2269939,0.6134969,0,0,
S01007920,100,97.029703,64.6864686,28.3828383,3.960396,2.640264,2.640264,0,0,0.330033,
S01007921,100,91.7085427,6.281407,34.9246231,50.5025126,8.2914573,5.0251256,2.7638191,0.5025126,0,
S01007922,100,69.5652174,4.3478261,38.8586957,26.3586957,30.4347826,29.8913043,0.5434783,0,0,
S01007923,100,89.6247241,25.607064,38.410596,25.3863135,10.3752759,8.388521,1.5452539,0.4415011,0,
S01007924,100,74.1304348,19.7826087,27.3913043,26.5217391,25,25.4347826,0.4347826,0,0,
S01007925,100,97.311828,81.7204301,11.2903226,4.3010753,2.1505376,0,2.1505376,0,0,
S01007926,100,97.7142857,70.8571429,19.4285714,9.7142857,2.2857143,1.1428571,0,0.5714286,0,
S01007927,100,93.6507937,63.8095238,20.3174603,8.2539683,6.984127,4.7619048,2.5396825,0.3174603,0.3174603,
S01007928,100,94.2791762,55.6064073,20.3661327,18.3066362,5.7208238,4.805492,1.1441648,0,0,
S01007929,100,95.3246753,61.8181818,20,13.5064935,4.6753247,2.2077922,2.4675325,0,0,
S01007930,100,98.9795918,66.8367347,19.3877551,12.755102,1.5306122,1.5306122,0,0,0,
S01007931,100,87.5259875,39.7089397,21.4137214,26.6112266,12.4740125,10.3950104,2.7027027,0,0,
S01007932,100,84.6965699,51.1873351,28.23219,5.2770449,15.3034301,13.4564644,1.3192612,0,0,
S01007933,100,93.7304075,26.0188088,19.7492163,47.9623824,6.2695925,5.3291536,0.3134796,0.3134796,0,
S01007934,100,92.1428571,35.3571429,26.0714286,31.7857143,7.5,7.8571429,0,0.3571429,0,
S01007935,100,36.9077307,11.4713217,8.2294264,17.2069825,63.0922693,53.8653367,4.9875312,4.9875312,0,
S01007936,100,88.4615385,56.9230769,18.2051282,13.0769231,11.7948718,11.025641,0.5128205,0,0,
S01007937,100,93.0612245,50,31.8367347,11.2244898,6.9387755,6.9387755,0,0,0,
S01007938,100,60.4395604,15.6593407,14.010989,30.7692308,39.2857143,38.7362637,0.5494505,0,0,
S01007939,100,93.0939227,7.7348066,36.4640884,48.8950276,6.9060773,6.9060773,0,0,0,
S01007940,100,77.3737374,21.010101,36.7676768,20,21.4141414,21.2121212,1.010101,0.2020202,0,
S01007941,100,94.3609023,41.3533835,41.7293233,10.1503759,3.3834586,3.0075188,1.1278195,0,0,
S01007942,100,73.2394366,11.7370892,38.9671362,22.5352113,26.7605634,23.4741784,1.8779343,1.4084507,0,
S01007943,100,80.9968847,28.3489097,15.8878505,36.7601246,20.2492212,17.7570093,1.5576324,1.2461059,0,
S01007944,100,76.8,24.8,32.2666667,19.4666667,24.5333333,23.7333333,0.8,0.2666667,0,
S01007945,100,67.0184697,16.6226913,24.5382586,26.3852243,33.7730871,25.3298153,7.651715,0.5277045,0,
S01007946,100,65.2777778,20.1388889,16.3194444,28.8194444,34.7222222,30.5555556,2.7777778,1.3888889,0,
S01007947,100,89.9371069,29.245283,35.8490566,24.8427673,10.0628931,9.4339623,0.6289308,0,0,
S01007948,100,65.480427,6.7615658,36.2989324,22.4199288,34.519573,33.8078292,0.7117438,0,0,
S01007949,100,79.2880259,13.9158576,54.6925566,9.7087379,20.7119741,20.7119741,0.6472492,0,0,
S01007950,100,88.7179487,49.2307692,26.1538462,13.3333333,11.2820513,9.2307692,2.0512821,0,0,
S01007951,100,73.4643735,24.8157248,30.4668305,17.4447174,26.5356265,24.5700246,1.965602,0.7371007,0,
S01007952,100,51.9174041,10.0294985,21.5339233,19.7640118,48.0825959,42.4778761,1.179941,3.539823,0,
S01007953,100,72.9591837,5.3571429,34.1836735,33.4183673,27.0408163,26.2755102,0.255102,0.5102041,0,
S01007954,100,63.1756757,2.3648649,28.3783784,32.0945946,36.8243243,36.8243243,0,0,0,
S01007955,100,96.6049383,2.4691358,35.4938272,56.7901235,4.3209877,4.3209877,0,0,0,
S01007956,100,96.969697,3.7037037,39.7306397,52.1885522,2.6936027,2.3569024,0.3367003,0,0,
S01007957,100,66.7276051,10.6032907,26.5082267,29.6160878,33.2723949,30.5301645,1.0968921,1.4625229,0,
S01007958,100,41.4179104,17.1641791,13.8059701,10.0746269,58.5820896,58.2089552,0.3731343,0,0,
S01007959,100,87.4643875,18.5185185,47.5783476,20.5128205,12.5356125,8.8319088,2.8490028,1.1396011,0,
S01007960,100,86.440678,11.1864407,38.6440678,37.2881356,13.559322,13.559322,0,0,0,
S01007961,100,94.100295,60.4719764,18.5840708,15.0442478,5.6047198,4.1297935,0.8849558,0.5899705,0.2949853,
S01007962,100,85.7142857,4.3650794,63.0952381,18.2539683,14.2857143,14.2857143,0,0,0,
S01007963,100,54.0229885,4.8275862,38.8505747,10.3448276,45.0574713,44.5977011,1.3793103,0,0,
S01007964,100,75.8426966,4.2134831,54.494382,17.1348315,24.1573034,24.1573034,0,0,0,
S01007965,100,62.2881356,4.2372881,47.4576271,9.7457627,36.440678,36.440678,1.2711864,0,0,
S01007966,100,89.4252874,11.4942529,53.7931034,23.2183908,10.5747126,9.8850575,0.4597701,0,0,
S01007967,100,86.637931,5.1724138,65.9482759,15.5172414,11.637931,9.4827586,0.862069,0,0,
S01007968,100,84.7328244,0.7633588,39.1857506,44.783715,15.2671756,15.0127226,0.2544529,0,0,
S01007969,100,73.7837838,4.3243243,45.6756757,23.7837838,26.2162162,26.2162162,0,0,0,
S01007970,100,79.3176972,2.5586354,37.7398721,38.5927505,20.6823028,20.6823028,0,0,0,
S01007971,100,63.9913232,2.6030369,37.3101952,24.0780911,36.0086768,36.0086768,0,0,0,
S01007972,100,89.3899204,1.8567639,52.5198939,36.0742706,10.0795756,10.0795756,0,0,0,
S01007973,100,96.9187675,22.6890756,71.1484594,4.4817927,2.5210084,2.5210084,0,0,0,
S01007974,100,33.6111111,3.0555556,27.2222222,2.2222222,66.3888889,64.4444444,1.3888889,0.5555556,0,
S01007975,100,71.6621253,4.0871935,35.6948229,32.1525886,28.3378747,26.9754768,0.2724796,1.0899183,0,
S01007976,100,29.8611111,2.3148148,15.7407407,11.8055556,70.1388889,68.5185185,0.6944444,0.9259259,0,
S01007977,100,71.042471,7.3359073,36.6795367,25.4826255,28.957529,28.957529,0,0,0,
S01007978,100,15.5555556,2.7160494,4.9382716,7.9012346,84.4444444,83.7037037,0.7407407,0,0,
S01007979,100,66.4197531,18.5185185,40.2469136,7.4074074,33.5802469,25.4320988,8.1481481,0,0,
S01007980,100,63.3333333,12,49,2,36.6666667,33.3333333,2.6666667,0,0,
S01007981,100,97.1774194,14.1129032,81.0483871,0.4032258,2.8225806,2.016129,0,0.4032258,0,
S01007982,100,99.5305164,37.5586854,26.7605634,34.741784,0.9389671,0.9389671,0,0,0,
S01007983,100,67.4259681,4.1002278,16.1731207,47.1526196,32.5740319,32.118451,0.2277904,0.2277904,0,
S01007984,100,86.809816,5.5214724,26.993865,52.7607362,13.190184,12.8834356,0,0.3067485,0,
S01007985,100,87.1391076,1.8372703,13.9107612,70.3412073,12.8608924,12.8608924,0,0,0,
S01007986,100,96.7611336,18.2186235,17.4089069,61.1336032,4.4534413,4.4534413,0,0,0,
S01007987,100,94.1358025,29.9382716,26.2345679,37.962963,5.8641975,5.5555556,0.308642,0,0,
S01007988,100,99.0033223,6.3122924,18.9368771,73.7541528,1.9933555,1.9933555,0,0,0,
S01007989,100,96.4088398,4.4198895,28.7292818,63.2596685,3.5911602,3.3149171,0,0.5524862,0,
S01007990,100,95.1724138,18.2758621,31.0344828,45.862069,6.2068966,5.5172414,0.6896552,0,0,
S01007991,100,98.1220657,77.9342723,18.0751174,1.6431925,1.1737089,0.9389671,0.2347418,0,0,
S01007992,100,98.6607143,66.5178571,29.0178571,3.5714286,0.4464286,0.4464286,0,0,0,
S01007993,100,99.3902439,36.5853659,63.7195122,0.304878,0.6097561,0.6097561,0,0,0,
S01007994,100,100,84.1750842,15.4882155,0.3367003,0,0,0,0,0,
S01007995,100,100,66.2420382,32.1656051,2.2292994,0,0,0,0,0,
S01007996,100,93.006993,72.027972,15.3846154,7.6923077,4.8951049,4.8951049,0,0,0,
S01007997,100,96.5811966,59.2592593,31.6239316,6.5527066,3.4188034,1.994302,0.2849003,0,0,
S01007998,100,75.9825328,41.4847162,28.3842795,4.8034934,25.3275109,23.580786,1.3100437,0.8733624,0,
S01007999,100,88.7096774,2.5806452,38.0645161,48.0645161,10.6451613,10.9677419,0.3225806,0,0,
S01008000,100,89.9497487,6.5326633,37.4371859,45.9798995,10.3015075,10.0502513,0.2512563,0,0,
S01008001,100,76.8707483,5.2154195,35.600907,36.0544218,22.9024943,20.4081633,1.814059,0.2267574,0.2267574,
S01008002,100,78.6516854,3.6516854,52.247191,22.752809,21.3483146,20.7865169,0.5617978,0,0,
S01008003,100,80.5555556,20.2380952,31.3492063,28.1746032,19.4444444,18.2539683,1.1904762,0,0,
S01008004,100,96.25,32.5,42.9166667,20.8333333,4.5833333,4.5833333,0,0,0,
S01008005,100,95,20.6666667,56,18,5,5,0,0,0,
S01008006,100,77.3809524,8.3333333,37.6984127,31.7460317,22.6190476,22.6190476,0,0,0,
S01008007,100,46.5587045,3.6437247,21.8623482,21.0526316,53.4412955,51.8218623,1.6194332,0,0,
S01008008,100,76.1744966,6.3758389,53.3557047,17.7852349,24.8322148,24.4966443,0.3355705,0,0,
S01008009,100,58.7837838,7.8828829,34.4594595,16.4414414,40.5405405,39.4144144,1.8018018,0,0,
S01008010,100,75.3684211,21.2631579,40.6315789,13.4736842,24.6315789,24.4210526,0,0,0,
S01008011,100,23.0971129,5.511811,5.7742782,11.023622,76.1154856,73.4908136,2.3622047,0.2624672,0,
S01008012,100,20.0389105,1.9455253,11.6731518,6.2256809,79.9610895,76.2645914,1.9455253,1.5564202,0,
S01008013,100,41.260745,6.017192,23.495702,11.747851,58.739255,54.7277937,2.8653295,1.1461318,0,
S01008014,100,59.2307692,14.6153846,42.3076923,3.0769231,40.3846154,40,0,0,0.3846154,
S01008015,100,38.9097744,9.2105263,17.2932331,12.406015,61.0902256,60.1503759,0.7518797,0.3759398,0,
S01008016,100,30.8235294,4.2352941,21.4117647,4.7058824,68.9411765,68.4705882,0.4705882,0.2352941,0.2352941,
S01008017,100,93.9313984,39.5778364,49.3403694,4.7493404,6.0686016,5.2770449,1.5831135,0,0,
S01008018,100,64.9517685,39.5498392,23.4726688,1.9292605,34.4051447,34.4051447,0,0,0,
S01008019,100,76.8595041,19.0082645,45.4545455,12.3966942,23.1404959,18.1818182,5.3719008,0,0,
S01008020,100,54.4,16,33.8666667,4.2666667,45.6,42.4,2.6666667,0.8,0,
S01008021,100,77.9605263,30.5921053,44.4078947,2.3026316,22.6973684,18.0921053,2.9605263,0.3289474,0,
S01008022,100,96.3746224,54.9848943,40.7854985,0.6042296,3.6253776,3.3232628,0.3021148,0,0,
S01008023,100,97.7973568,83.7004405,14.0969163,1.7621145,2.2026432,0.4405286,0.8810573,0,0.4405286,
S01008024,100,93.4177215,66.0759494,21.2658228,5.8227848,6.5822785,4.8101266,1.7721519,0,0,
S01008025,100,97.4545455,23.6363636,72,1.8181818,2.5454545,2.5454545,0,0,0,
S01008026,100,71.3665944,13.0151844,31.2364425,27.1149675,28.6334056,27.3318872,0,1.3015184,0,
S01008027,100,61.5062762,8.7866109,22.1757322,32.2175732,38.4937238,37.6569038,0.8368201,0,0,
S01008028,100,87.2427984,26.3374486,39.9176955,21.399177,12.7572016,12.7572016,0,0,0,
S01008029,100,93.5370153,61.9271445,25.9694477,5.640423,5.8754407,5.1703878,0.8225617,0,0.4700353,
S01008030,100,89.3305439,40.167364,38.0753138,11.0878661,10.6694561,10.041841,0.41841,0.209205,0,
S01008031,100,76.3085399,18.4573003,28.3746556,29.476584,23.6914601,22.0385675,1.3774105,0.2754821,0,
S01008032,100,96.5879265,18.8976378,45.6692913,31.496063,3.6745407,4.1994751,0.2624672,0,0,
S01008033,100,100.7575758,82.5757576,12.1212121,6.0606061,0.7575758,0.7575758,0,0,0.3787879,
S01008034,100,83.7837838,60.2316602,10.4247104,13.5135135,16.2162162,16.2162162,0,0,0,
S01008035,100,90,40.3571429,24.6428571,24.6428571,9.2857143,9.2857143,0,0,0,
S01008036,100,99.5934959,38.6178862,52.4390244,8.5365854,0.4065041,0,0.4065041,0,0,
S01008037,100,66.1327231,3.8901602,34.5537757,28.1464531,33.6384439,33.409611,0.228833,0,0.228833,
S01008038,100,89.9713467,2.2922636,36.1031519,51.5759312,9.1690544,9.4555874,0.8595989,0,0,
S01008039,100,73.1092437,2.8011204,49.2997199,21.8487395,27.1708683,26.6106443,0.5602241,0,0,
S01008040,100,97.2752044,33.7874659,39.2370572,24.5231608,2.4523161,0.5449591,1.6348774,0.2724796,0,
S01008041,100,50.7122507,6.5527066,28.2051282,15.3846154,48.7179487,47.5783476,0.8547009,0,0,
S01008042,100,61.754386,40,18.9473684,4.2105263,38.245614,33.6842105,3.5087719,1.0526316,0,
S01008043,100,93.1034483,44.5812808,47.7832512,1.7241379,5.91133,5.4187192,0.4926108,0,0,
S01008044,100,71.8604651,26.5116279,35.1162791,10,28.372093,27.9069767,0.4651163,0,0,
S01008045,100,70.8494208,47.6833977,13.8996139,8.6872587,29.1505792,27.992278,1.1583012,0,0,
S01008046,100,31.3829787,6.0283688,19.1489362,6.7375887,68.0851064,64.7163121,2.1276596,1.4184397,0,
S01008047,100,95.4861111,49.6527778,36.4583333,9.375,4.5138889,4.5138889,0,0,0,
S01008048,100,97.9338843,66.9421488,28.0991736,2.892562,2.0661157,2.0661157,0,0,0,
S01008049,100,94.6478873,41.4084507,49.5774648,2.2535211,6.4788732,6.4788732,0,0,0,
S01008050,100,82.6446281,69.0082645,10.7438017,2.892562,17.3553719,17.3553719,0,0,0,
S01008051,100,98.489426,14.5015106,83.6858006,0.6042296,1.510574,1.2084592,0.3021148,0,0,
S01008052,100,84.5181675,51.0268562,27.6461295,5.8451817,15.0078989,15.0078989,0,0,0,
S01008053,100,82.1011673,38.1322957,43.9688716,0,18.2879377,17.1206226,0.3891051,0,0,
S01008054,100,56.1643836,35.3424658,13.4246575,7.6712329,43.8356164,38.9041096,3.0136986,1.9178082,0,
S01008055,100,96.3414634,78.7804878,16.097561,2.195122,2.9268293,1.7073171,1.2195122,0,0,
