Council Area,2019 (Pre-Covid),2020 (Lockdown),Covid Impact (%),2021 (Pre-War),2022 (War Start),War Impact (%),2023 (Current)
Inverclyde,3394.327285172382,3518.6538520776494,3.6627748728995533,3282.315532877321,2919.6326426875157,-11.0496046634454,2964.52976012568
Orkney Islands,5850.801498452586,5993.510292913525,2.4391323906422375,5867.114357169818,5439.902097516134,-7.281471497681233,5403.848552397971
